
央视频道,#genre#
广东卫视,http:/1.95.63.93/zb1/GDWS.m3u8
广西卫视,http:/1.95.63.93/zb1/GXWS.m3u8
贵州卫视,http:/1.95.63.93/zb1/GZWS.m3u8
海南卫视,http:/1.95.63.93/zb1/QHWS.m3u8
河北卫视,http:/1.95.63.93/zb1/HBWS.m3u8
河南卫视,http:/1.95.63.93/zb1/HNWS.m3u8
黑龙江卫视,http:/1.95.63.93/zb1/HLJWS.m3u8
湖北卫视,http:/1.95.63.93/zb1/HBWS1.m3u8
湖南卫视,http:/1.95.63.93/zb1/HNWS1.m3u8
吉林卫视,http:/1.95.63.93/zb1/JLWS.m3u8
江苏卫视,http:/1.95.63.93/zb1/JSWS.m3u8
江西卫视,http:/1.95.63.93/zb1/JXWS.m3u8
金鹰纪实,http:/1.95.63.93/zb1/JYSJ.m3u8
康巴卫视,http:/1.95.63.93/zb1/KBWS.m3u8
辽宁卫视,http:/1.95.63.93/zb1/LLWS.m3u8
内蒙古卫视,http:/1.95.63.93/zb1/NMGWS.m3u8
宁夏卫视,http:/1.95.63.93/zb1/NXWS.m3u8
青海卫视,http:/1.95.63.93/zb1/QHWS1.m3u8
三沙卫视,http:/1.95.63.93/zb1/SSWS.m3u8
厦门卫视,http:/1.95.63.93/zb1/XMWS.m3u8
山东教育,http:/1.95.63.93/zb1/JYWS.m3u8
山东卫视,http:/1.95.63.93/zb1/WS.m3u8
山西卫视,http:/1.95.63.93/zb1/SXWS.m3u8
陕西卫视,http:/1.95.63.93/zb1/SXWS1.m3u8
深圳卫视,http:/1.95.63.93/zb1/SZWS.m3u8
四川卫视,http:/1.95.63.93/zb1/SCWS.m3u8
天津卫视,http:/1.95.63.93/zb1/TJWS.m3u8
西藏卫视,http:/1.95.63.93/zb1/XZWS.m3u8
新疆卫视,http:/1.95.63.93/zb1/XJWS.m3u8
新视觉卫视,http:/1.95.63.93/zb1/XSJWS.m3u8
延边卫视,http:/1.95.63.93/zb1/YBWS.m3u8
云南卫视,http:/1.95.63.93/zb1/YNWS.m3u8
浙江卫视,http:/1.95.63.93/zb1/ZJWS.m3u8
重庆卫视,http:/1.95.63.93/zb1/CQWS.m3u8
安徽卫视,http:/huangfeiyan.top/zb/AHWS.m3u8
北京卫视,http:/huangfeiyan.top/zb/BJWS.m3u8
大湾区卫,http:/huangfeiyan.top/zb/DWQWS.m3u8
东方卫视,http:/huangfeiyan.top/zb/DFWS.m3u8
东南卫视,http:/huangfeiyan.top/zb/DNWS.m3u8
甘肃卫视,http:/huangfeiyan.top/zb/GSWS.m3u8
广东卫视,http:/huangfeiyan.top/zb/GDWS.m3u8
广西卫视,http:/huangfeiyan.top/zb/GXWS.m3u8
贵州卫视,http:/huangfeiyan.top/zb/GZWS.m3u8
海南卫视,http:/huangfeiyan.top/zb/QHWS.m3u8
河北卫视,http:/huangfeiyan.top/zb/HBWS.m3u8
河南卫视,http:/huangfeiyan.top/zb/HNWS.m3u8
黑龙江卫视,http:/huangfeiyan.top/zb/HLJWS.m3u8
湖北卫视,http:/huangfeiyan.top/zb/HBWS1.m3u8
湖南卫视,http:/huangfeiyan.top/zb/HNWS1.m3u8
吉林卫视,http:/huangfeiyan.top/zb/JLWS.m3u8
江苏卫视,http:/huangfeiyan.top/zb/JSWS.m3u8
江西卫视,http:/huangfeiyan.top/zb/JXWS.m3u8
金鹰纪实,http:/huangfeiyan.top/zb/JYSJ.m3u8
康巴卫视,http:/huangfeiyan.top/zb/KBWS.m3u8
辽宁卫视,http:/huangfeiyan.top/zb/LLWS.m3u8
内蒙古卫视,http:/huangfeiyan.top/zb/NMGWS.m3u8
宁夏卫视,http:/huangfeiyan.top/zb/NXWS.m3u8
青海卫视,http:/huangfeiyan.top/zb/QHWS1.m3u8
三沙卫视,http:/huangfeiyan.top/zb/SSWS.m3u8
厦门卫视,http:/huangfeiyan.top/zb/XMWS.m3u8
山东教育,http:/huangfeiyan.top/zb/JYWS.m3u8
山东卫视,http:/huangfeiyan.top/zb/WS.m3u8
山西卫视,http:/huangfeiyan.top/zb/SXWS.m3u8
陕西卫视,http:/huangfeiyan.top/zb/SXWS1.m3u8
深圳卫视,http:/huangfeiyan.top/zb/SZWS.m3u8
四川卫视,http:/huangfeiyan.top/zb/SCWS.m3u8
天津卫视,http:/huangfeiyan.top/zb/TJWS.m3u8
西藏卫视,http:/huangfeiyan.top/zb/XZWS.m3u8
新疆卫视,http:/huangfeiyan.top/zb/XJWS.m3u8
